Datum;Uhrzeit;Deutschland/Luxemburg[Euro/MWh];Dänemark 1[Euro/MWh];Dänemark 2[Euro/MWh];Frankreich[Euro/MWh];Italien (Nord)[Euro/MWh];Niederlande[Euro/MWh];Polen[Euro/MWh];Schweden 4[Euro/MWh];Schweiz[Euro/MWh];Slowenien[Euro/MWh];Tschechien[Euro/MWh];Ungarn[Euro/MWh];Österreich[Euro/MWh];Deutschland/Österreich/Luxemburg[Euro/MWh]
26.06.2019;05:00;30,87;30,87;30,87;19,59;-;34,3;-;28,26;30,86;30,87;32,31;32,31;30,87;-
26.06.2019;06:00;44,45;44,45;44,45;28,65;-;43,88;-;43,38;33,58;42,88;46,03;46,03;42,88;-
26.06.2019;07:00;59,82;59,82;59,82;28,87;-;60,08;-;59,82;36,34;56,1;61,8;61,8;56,1;-
26.06.2019;08:00;60,08;60,08;60,08;35,98;-;59,44;-;60,08;39,12;69,66;60,8;60,8;60,08;-
26.06.2019;09:00;48,44;48,44;48,44;37,13;-;51,83;-;48,44;39,28;48,44;48,76;54,53;48,44;-
26.06.2019;10:00;38,09;35,17;38,09;37,14;-;38,65;-;38,09;38,49;56,76;39,1;53,33;38,09;-
26.06.2019;11:00;36,7;34,5;36,7;36,7;-;36,7;-;36,7;36,8;57,19;36;55,84;36,7;-
26.06.2019;12:00;35,08;33,95;35,08;35,08;-;35,08;-;35,08;33,46;54,25;36,87;56,04;35,08;-
26.06.2019;13:00;33,09;33,09;33,09;33,09;-;33,09;-;33,09;31,92;54,9;40,8;52,64;33,09;-
26.06.2019;14:00;31,88;31,88;31,88;31,88;-;31,88;-;31,88;30,87;60,49;40,8;59,26;31,88;-
26.06.2019;15:00;30,89;30,89;30,89;30,89;-;30,89;-;30,89;30,54;59;43,63;60,7;30,89;-
26.06.2019;16:00;31,47;30,71;30,71;31,47;-;31,47;-;30,71;31,34;63,33;40,8;63,3;31,47;-
26.06.2019;17:00;34,27;31,66;33,45;28,79;-;34,27;-;33,45;33,81;65,21;40,8;64,05;34,27;-
26.06.2019;18:00;38,98;31,12;35,16;32,16;-;38,98;-;35,16;37,5;62,78;40,8;64,01;38,98;-
26.06.2019;19:00;49,92;30,73;30,73;32,7;-;49,92;-;30,73;38,9;72,09;45,39;70,27;49,92;-
26.06.2019;20:00;48,88;30,04;30,04;28,66;-;50,1;-;30,04;36,82;72,09;44,09;71,13;48,88;-
26.06.2019;21:00;38,97;29,36;29,36;21,79;-;42,95;-;29,36;34,5;71,91;40;68,01;38,97;-
26.06.2019;22:00;36,7;27,82;27,82;30,15;-;36,7;-;27,82;36,05;57,13;36,98;77,93;36,7;-
26.06.2019;23:00;30,57;15,84;15,84;23,75;-;30,45;-;15,84;30,59;51,04;30,54;50,05;30,57;-
27.06.2019;00:00;28;23,24;23,24;28;-;28;-;23,24;29,01;49,3;31,3;47,06;28;-
27.06.2019;01:00;26,53;23,86;23,86;22,59;-;27;-;23,86;27,47;57,69;29,07;37,71;26,53;-
27.06.2019;02:00;25,03;22,46;22,46;19,82;-;27,31;-;22,46;26,07;30,08;27,5;29,45;25,03;-
